                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.1478,                0.78783,                0.99515,                0.78284,                0.61066,                0.69865,                0.39902,                 1.5771,                 1.1101,                 1.1826,             0.00028806,             0.00028806,             0.00028806
                     72,                 1.1685,                0.78644,                 1.0029,                0.76877,                0.63437,                 0.6992,                0.40674,                 1.5571,                 1.0914,                 1.1779,             0.00027906,             0.00027906,             0.00027906
                     73,                 1.1722,                0.76548,                 1.0027,                0.77414,                 0.6058,                0.68816,                0.39871,                 1.5684,                 1.0886,                 1.1816,             0.00027006,             0.00027006,             0.00027006
                     74,                 1.1826,                0.78578,                0.99703,                0.73268,                0.63049,                0.69375,                0.40738,                 1.5684,                 1.1119,                 1.1834,             0.00026106,             0.00026106,             0.00026106
                     75,                 1.1719,                0.77037,                 1.0024,                0.71169,                0.64839,                0.68963,                0.40024,                 1.6147,                 1.1164,                 1.1982,             0.00025207,             0.00025207,             0.00025207
                     76,                 1.1552,                0.77019,                0.99337,                0.79087,                0.62598,                0.69916,                0.40206,                 1.5908,                 1.0567,                 1.1887,             0.00024307,             0.00024307,             0.00024307
                     77,                 1.1488,                0.74441,                0.99132,                0.84082,                0.59722,                0.69486,                0.40828,                 1.5786,                  1.055,                 1.1808,             0.00023407,             0.00023407,             0.00023407
                     78,                 1.1487,                0.74085,                0.98899,                 0.7426,                0.65654,                 0.6956,                0.41318,                 1.5612,                 1.0649,                 1.1684,             0.00022507,             0.00022507,             0.00022507
                     79,                 1.1373,                0.74212,                0.98551,                0.77463,                0.63918,                0.70576,                0.41645,                 1.5535,                 1.0609,                 1.1622,             0.00021607,             0.00021607,             0.00021607
                     80,                 1.1409,                0.76805,                0.99441,                0.79502,                0.64601,                0.70733,                0.42126,                  1.517,                 1.0368,                 1.1519,             0.00020707,             0.00020707,             0.00020707
                     81,                 1.1199,                0.73907,                0.99448,                0.79416,                0.65488,                0.71731,                0.43408,                 1.5417,                 1.0307,                 1.1548,             0.00019807,             0.00019807,             0.00019807
                     82,                 1.1137,                 0.7453,                0.98975,                0.76427,                0.65574,                 0.7206,                0.42638,                 1.5402,                 1.0241,                 1.1688,             0.00018907,             0.00018907,             0.00018907
                     83,                  1.131,                0.73351,                0.98855,                0.76392,                0.64073,                0.71921,                0.42111,                 1.5319,                 1.0326,                  1.164,             0.00018007,             0.00018007,             0.00018007
                     84,                  1.115,                0.73133,                0.98293,                 0.7438,                0.68795,                0.72047,                0.42302,                 1.5548,                 1.0338,                 1.1781,             0.00017107,             0.00017107,             0.00017107
                     85,                 1.1143,                0.72338,                0.97223,                0.75118,                0.67454,                0.71878,                0.42294,                  1.556,                 1.0214,                 1.1759,             0.00016207,             0.00016207,             0.00016207
                     86,                 1.1285,                0.73913,                0.98301,                0.75317,                 0.6758,                0.72325,                0.42826,                 1.5534,                 1.0383,                  1.178,             0.00015308,             0.00015308,             0.00015308
                     87,                 1.1039,                0.72618,                0.97163,                  0.776,                 0.6488,                0.72045,                0.42675,                 1.5344,                 1.0243,                 1.1609,             0.00014408,             0.00014408,             0.00014408
                     88,                 1.1278,                0.74041,                0.99069,                0.76776,                0.64753,                0.71551,                0.42313,                 1.5413,                 1.0104,                 1.1603,             0.00013508,             0.00013508,             0.00013508
                     89,                  1.081,                0.71148,                0.96778,                0.79032,                0.61309,                0.71797,                0.42564,                 1.5361,                 1.0216,                 1.1598,             0.00012608,             0.00012608,             0.00012608
                     90,                  1.122,                0.72012,                0.98475,                0.77403,                0.62955,                0.72007,                0.42314,                 1.5414,                 1.0369,                 1.1614,             0.00011708,             0.00011708,             0.00011708
